title,purchase_price,selling_price,aliexpress_link
Digitalwaage Waage,"13,51","31,95",https://de.aliexpress.com/item/1005005394357423.html?spm=sbuds.searchProducts.0.0.b195847eMeP2Ba&gatewayAdapt=glo2deu#nav-review
Digitalwaage Kranwaage Hängewaage 50g~300Kg Zugwaage Kofferwaage Edelstahl,"21,02","44,95",https://de.aliexpress.com/item/1005005571801409.html?spm=sbuds.searchProducts.0.0.b195847eTntHuu&gatewayAdapt=glo2deu
Zigaretten Roller Zigaretten Drehmaschine Roller Messing Antik Edel,"28,98","59,95","https://de.aliexpress.com/item/1005006663925170.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.6165rNzArNzA0M&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=1d01f123-ddc6-4b48-acfc-56da1566e40e&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:1d01f123-ddc6-4b48-acfc-56da1566e40e,tpp_buckets:668%232846%238115%232000&pdp_npi=4%40dis%21EUR%21100.75%2128.61%21%21%21772.06%21219.26%21%40211b81b117125318318641742ed831%2112000037959012683%21rec%21DE%21137150738%21&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A"
Tamagotchi Farbdisplay Elektronisches Virtuelles Haustier,"16,57","34,95",https://de.aliexpress.com/item/1005005260468271.html?spm=sbuds.searchProducts.0.0.b195847eXHE2vU&gatewayAdapt=glo2deu
Autobatterie Auto Motorrad Ladegerät KFZ intelligentes Ladegerät 12V 6A Agm,"12,36","29,95",https://de.aliexpress.com/item/1005005636487969.html?spm=sbuds.searchProducts.0.0.b195847eXHE2vU&gatewayAdapt=glo2deu
20A 10A Auto Motorrad Autobatterie Ladegerät 12V/24V Smart Lithium Agm Lifepo4,"37,77","79,95",https://de.aliexpress.com/item/1005006139252055.html?spm=sbuds.searchProducts.0.0.b195847eXHE2vU&gatewayAdapt=glo2deu
"Star Wars X-Wing Starfigther von Bandai Miniatur Modell 8,6cm Länge","15,38","36,95",https://de.aliexpress.com/item/1005003484304217.html?spm=sbuds.searchProducts.0.0.b195847e5iJrHG&gatewayAdapt=glo2deu
Tamagotchi Original von Bandai Jujutsu Kaisen Japanische Version! Megumi Goro,"16,95","34,95",https://de.aliexpress.com/item/1005004133303441.html?spm=sbuds.searchProducts.0.0.b195847e5iJrHG&gatewayAdapt=glo2deu
Star Wars Allterrain-Angriffstransporter AT-AT 1:144 zum zusammenbauen Bandai,"41,48","79,95",https://de.aliexpress.com/item/1005003427920001.html?spm=sbuds.searchProducts.0.0.b195847e5iJrHG&gatewayAdapt=glo2deu
Spiderman Web Shooter Netzwerfer Spinnennetz Waffe verbesserte Version,"28,9","54,95",https://de.aliexpress.com/item/1005005799808892.html?spm=sbuds.searchProducts.0.0.b195847e7PnhYN&gatewayAdapt=glo2deu
"1:24 Audi RS6 Rennmodellauto aus Druckguss-Legierung, Sammlerstück Grün","15,5","33,5",https://de.aliexpress.com/item/1005006367845511.html?spm=sbuds.searchProducts.0.0.b195847eex5J79&gatewayAdapt=glo2deu
"1:24 Audi RS6 Rennmodellauto aus Druckguss-Legierung, Sammlerstück Grau","19,55","39,95",https://de.aliexpress.com/item/1005006367845511.html?spm=sbuds.searchProducts.0.0.b195847eex5J79&gatewayAdapt=glo2deu
1:24 Ferrari LaFerrari Modellauto gegossen aus Metall mit Druckguss Sammlerstück,"19,92","39,95",https://de.aliexpress.com/item/1005003586547962.html?spm=sbuds.searchProducts.0.0.b195847eex5J79&gatewayAdapt=glo2deu
